Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
91,302,287,287,309,371,363,461,511,485,510,399,304
92,495,514,615,608,830,546,492,561,479,569,525,433
93,634,596,571,686,690,651,718,680,624,662,617,479
94,406,455,613,541,502,461,509,533,552,585,418,379
95,584,573,711,671,565,715,719,691,756,857,586,522
96,692,682,757,786,764,792,815,764,777,761,652,548
97,558,599,740,717,794,714,719,683,703,769,589,522
98,606,606,665,671,717,697,741,668,675,784,569,503
99,566,645,637,778,741,638,708,718,690,720,596,507
00,567,639,757,759,705,664,672,705,762,891,615,483
01,625,546,726,798,737,755,687,711,1966,1048,621,510
02,546,517,705,711,670,668,651,637,762,653,539,426
03,528,491,684,678,703,653,644,677,684,692,624,487
04,521,630,683,711,747,658,673,632,651,717,587,475
05,547,550,648,697,715,614,636,653,627,701,573,450
06,549,535,638,730,704,682,744,641,688,698,611,495
07,550,482,630,678,718,683,686,657,748,740,572,481
08,577,614,693,698,745,689,714,693,708,737,686,485
09,479,491,565,549,615,591,557,639,594,628,500,405
10,474,437,600,664,614,538,559,619,657,635,474,362
11,438,386,518,544,593,557,560,576,555,588,482,502
12,560,544,589,577,629,571,612,568,590,518,465,371
13,404,400,483,529,569,574,604,584,518,526,445,408
14,327,390,441,489,520,511,513,562,509,559,385,393
15,410,364,438,515,563,562,594,542,482,475,466,460
16,382,384,496,489,495,541,613,522,537,567,759,491
17,552,582,649,572,661,654,614,680,647,645,584,481
18,485,499,549,552,651,628,662,644,637,691,585,588
19,514,488,662,649,724,699,712,717,723,738,625,641
20,626,643,644,513,773,1470,1155,1085,952,1004,780,654
